Paper1,Paper2,similarity
"""19.pdf""","""20.pdf""",0.49333333333333335
"""19.pdf""","""49.pdf""",0.49333333333333335
"""20.pdf""","""19.pdf""",0.49333333333333335
"""34.pdf""","""22.pdf""",0.4931506849315068
"""2.pdf""","""42.pdf""",0.4895833333333333
"""42.pdf""","""2.pdf""",0.4895833333333333
"""30.pdf""","""15.pdf""",0.4892086330935252
"""7.pdf""","""14.pdf""",0.4891304347826087
"""16.pdf""","""65.pdf""",0.4878048780487805
"""46.pdf""","""60.pdf""",0.4878048780487805
"""60.pdf""","""34.pdf""",0.4878048780487805
"""60.pdf""","""61.pdf""",0.4878048780487805
"""61.pdf""","""60.pdf""",0.4878048780487805
"""65.pdf""","""16.pdf""",0.4878048780487805
"""2.pdf""","""5.pdf""",0.48739495798319327
"""5.pdf""","""2.pdf""",0.48739495798319327
"""26.pdf""","""14.pdf""",0.4864864864864865
"""10.pdf""","""12.pdf""",0.48623853211009177
"""19.pdf""","""18.pdf""",0.4861111111111111
"""47.pdf""","""2.pdf""",0.4827586206896552
"""47.pdf""","""65.pdf""",0.4827586206896552
"""65.pdf""","""47.pdf""",0.4827586206896552
"""1.pdf""","""2.pdf""",0.4824561403508772
"""10.pdf""","""24.pdf""",0.4810126582278481
"""24.pdf""","""10.pdf""",0.4810126582278481
"""24.pdf""","""65.pdf""",0.4810126582278481
"""65.pdf""","""24.pdf""",0.4810126582278481
"""30.pdf""","""38.pdf""",0.4805194805194805
"""38.pdf""","""12.pdf""",0.4805194805194805
"""38.pdf""","""30.pdf""",0.4805194805194805
"""46.pdf""","""21.pdf""",0.47959183673469385
"""7.pdf""","""17.pdf""",0.4782608695652174
"""52.pdf""","""2.pdf""",0.4777777777777778
"""40.pdf""","""17.pdf""",0.47619047619047616
"""61.pdf""","""21.pdf""",0.47619047619047616
"""29.pdf""","""41.pdf""",0.475
"""29.pdf""","""65.pdf""",0.475
"""65.pdf""","""29.pdf""",0.475
"""40.pdf""","""53.pdf""",0.4745762711864407
"""53.pdf""","""40.pdf""",0.4745762711864407
"""43.pdf""","""18.pdf""",0.4722222222222222
"""28.pdf""","""33.pdf""",0.4716981132075472
"""33.pdf""","""28.pdf""",0.4716981132075472
"""10.pdf""","""47.pdf""",0.47126436781609193
"""46.pdf""","""41.pdf""",0.46938775510204084
"""42.pdf""","""12.pdf""",0.46875
"""42.pdf""","""21.pdf""",0.46875
"""46.pdf""","""52.pdf""",0.4666666666666667
"""52.pdf""","""43.pdf""",0.4666666666666667
"""52.pdf""","""46.pdf""",0.4666666666666667
"""52.pdf""","""48.pdf""",0.4666666666666667
"""10.pdf""","""22.pdf""",0.4657534246575342
"""16.pdf""","""49.pdf""",0.4634146341463415
"""23.pdf""","""10.pdf""",0.4634146341463415
"""23.pdf""","""17.pdf""",0.4634146341463415
"""23.pdf""","""2.pdf""",0.4634146341463415
"""16.pdf""","""51.pdf""",0.46296296296296297
"""53.pdf""","""51.pdf""",0.46296296296296297
"""55.pdf""","""2.pdf""",0.46296296296296297
"""46.pdf""","""20.pdf""",0.4605263157894737
"""30.pdf""","""17.pdf""",0.460431654676259
"""46.pdf""","""12.pdf""",0.45918367346938777
"""7.pdf""","""9.pdf""",0.45652173913043476
"""9.pdf""","""7.pdf""",0.45652173913043476
"""55.pdf""","""21.pdf""",0.4537037037037037
"""55.pdf""","""43.pdf""",0.4537037037037037
"""19.pdf""","""12.pdf""",0.4533333333333333
"""19.pdf""","""2.pdf""",0.4533333333333333
"""28.pdf""","""14.pdf""",0.4528301886792453
"""28.pdf""","""15.pdf""",0.4528301886792453
"""28.pdf""","""2.pdf""",0.4528301886792453
"""28.pdf""","""30.pdf""",0.4528301886792453
"""30.pdf""","""28.pdf""",0.4528301886792453
"""40.pdf""","""14.pdf""",0.4523809523809524
"""61.pdf""","""17.pdf""",0.4523809523809524
"""61.pdf""","""62.pdf""",0.4523809523809524
"""62.pdf""","""61.pdf""",0.4523809523809524
"""16.pdf""","""10.pdf""",0.45121951219512196
"""7.pdf""","""29.pdf""",0.45
"""30.pdf""","""65.pdf""",0.449438202247191
"""32.pdf""","""17.pdf""",0.4492753623188406
"""31.pdf""","""17.pdf""",0.44776119402985076
"""40.pdf""","""20.pdf""",0.4473684210526316
"""30.pdf""","""21.pdf""",0.4460431654676259
"""26.pdf""","""25.pdf""",0.44594594594594594
"""26.pdf""","""48.pdf""",0.44594594594594594
"""7.pdf""","""15.pdf""",0.44565217391304346
"""7.pdf""","""49.pdf""",0.44565217391304346
"""9.pdf""","""49.pdf""",0.44565217391304346
"""36.pdf""","""15.pdf""",0.4444444444444444
"""36.pdf""","""17.pdf""",0.4444444444444444
"""40.pdf""","""51.pdf""",0.4444444444444444
"""52.pdf""","""15.pdf""",0.4444444444444444
"""55.pdf""","""17.pdf""",0.4444444444444444
"""7.pdf""","""25.pdf""",0.4444444444444444
"""5.pdf""","""43.pdf""",0.4424778761061947
"""59.pdf""","""62.pdf""",0.44155844155844154
"""62.pdf""","""59.pdf""",0.44155844155844154
"""5.pdf""","""53.pdf""",0.4406779661016949
"""1.pdf""","""40.pdf""",0.44047619047619047
"""40.pdf""","""55.pdf""",0.44047619047619047
"""55.pdf""","""40.pdf""",0.44047619047619047
"""61.pdf""","""15.pdf""",0.44047619047619047
"""19.pdf""","""61.pdf""",0.44
"""61.pdf""","""19.pdf""",0.44
"""30.pdf""","""16.pdf""",0.43902439024390244
"""38.pdf""","""60.pdf""",0.43902439024390244
"""30.pdf""","""29.pdf""",0.4375
"""5.pdf""","""17.pdf""",0.4369747899159664
"""55.pdf""","""47.pdf""",0.4367816091954023
"""9.pdf""","""17.pdf""",0.43478260869565216
"""28.pdf""","""29.pdf""",0.4339622641509434
"""28.pdf""","""41.pdf""",0.4339622641509434
"""28.pdf""","""46.pdf""",0.4339622641509434
"""35.pdf""","""28.pdf""",0.4339622641509434
"""5.pdf""","""25.pdf""",0.43209876543209874
"""30.pdf""","""10.pdf""",0.43119266055045874
"""55.pdf""","""18.pdf""",0.4305555555555556
"""33.pdf""","""34.pdf""",0.43010752688172044
"""38.pdf""","""48.pdf""",0.42857142857142855
"""5.pdf""","""21.pdf""",0.42857142857142855
"""62.pdf""","""21.pdf""",0.42857142857142855
"""23.pdf""","""12.pdf""",0.4268292682926829
"""23.pdf""","""41.pdf""",0.4268292682926829
"""19.pdf""","""48.pdf""",0.4266666666666667
"""1.pdf""","""51.pdf""",0.42592592592592593
"""62.pdf""","""22.pdf""",0.4246575342465753
