prefLabel,id,from_to,matchType,text
Fit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70826,13637-13639|18546-18548|18714-18716|20036-20038|21818-21820|23348-23350|39837-39839,PREF|PREF|PREF|PREF|PREF|PREF|PREF,FIT|FIT|FIT|FIT|FIT|FIT|FIT
Combined,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25454,13806-13813|18609-18616|32507-32514,PREF|PREF|PREF,COMBINED|COMBINED|COMBINED
Independence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61366,14104-14114|14199-14209|19376-19386|24774-24784|27398-27408|38203-38213|42837-42848|43373-43384,SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF,INDEPENDENT|INDEPENDENT|INDEPENDENT|INDEPENDENT|INDEPENDENT|INDEPENDENT|INDEPENDENCE|INDEPENDENCE
Direct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62254,14296-14303|27353-27358,SYN|PREF,DIRECTLY|DIRECT
Good,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64975,14955-14958,PREF,GOOD
Correspondence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97019,15034-15047|24318-24331,PREF|PREF,CORRESPONDENCE|CORRESPONDENCE
Raw,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48188,15265-15267,PREF,RAW
Density,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45781,15668-15674|18162-18168|41036-41042,PREF|PREF|PREF,DENSITY|DENSITY|DENSITY
Surface,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25245,15725-15731|31968-31974|32314-32320|40191-40197,PREF|PREF|PREF|PREF,SURFACE|SURFACE|SURFACE|SURFACE
ADM,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113266,15877-15879,PREF,ADM
Radial,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25314,15962-15967,PREF,RADIAL
Forearm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32628,16000-16006,PREF,FOREARM
Baseline,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25213,16461-16468|19608-19615|31057-31064|35905-35912|43677-43684,PREF|PREF|PREF|PREF|PREF,BASELINE|BASELINE|BASELINE|BASELINE|BASELINE
Total,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25304,16546-16550|40848-40852,PREF|PREF,TOTAL|TOTAL
Task,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101129,16606-16609|16663-16666|16978-16981|17622-17625|19545-19548|29370-29373|29996-29999|30745-30748|31319-31322|40492-40495|41126-41129|42575-42578|43533-43536,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK|TASK
Evaluation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25214,16763-16770|18718-18726|24448-24457|32744-32751|32957-32964|44022-44031,SYN|SYN|PREF|SYN|SYN|PREF,EVALUATE|EVALUATED|EVALUATION|EVALUATE|EVALUATE|EVALUATION
Time Series,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C181915,17052-17062|39221-39231|39543-39553,PREF|PREF|PREF,TIME SERIES|TIME SERIES|TIME SERIES
Time,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25207,17052-17055|39221-39224|39543-39546|41284-41287|41315-41318,PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME
Duration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25330,17052-17055|31260-31267|39221-39224|39543-39546|41284-41287|41315-41318,SYN|PREF|SYN|SYN|SYN|SYN,TIME|DURATION|TIME|TIME|TIME|TIME
Series,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25674,17057-17062|28846-28851|39226-39231|39548-39553,PREF|PREF|PREF|PREF,SERIES|SERIES|SERIES|SERIES
Velocity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179817,17148-17155|39212-39219,PREF|PREF,VELOCITY|VELOCITY
Combination,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61517,17157-17167|18865-18875,PREF|PREF,COMBINATION|COMBINATION
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25309,17796-17800|19996-20000|36340-36344|37222-37226|37998-38002|40319-40323,PREF|PREF|PREF|PREF|PREF|PREF,LOWER|LOWER|LOWER|LOWER|LOWER|LOWER
Lower,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86568,17796-17800|19996-20000|36340-36344|37222-37226|37998-38002|40319-40323,PREF|PREF|PREF|PREF|PREF|PREF,LOWER|LOWER|LOWER|LOWER|LOWER|LOWER
