prefLabel,id,from_to,matchType,text
Shared,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38019,348-353|4477-4482|4539-4544|6537-6542|7016-7021|21265-21270,SYN|SYN|SYN|SYN|SYN|PREF,COMMON|COMMON|COMMON|COMMON|COMMON|SHARED
Common,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43461,348-353|4477-4482|4539-4544|6537-6542|7016-7021,PREF|PREF|PREF|PREF|PREF,COMMON|COMMON|COMMON|COMMON|COMMON
Underlying,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154417,355-364|19263-19272,PREF|PREF,UNDERLYING|UNDERLYING
Fine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85990,393-396|1520-1523|3136-3139|6947-6950,PREF|PREF|PREF|PREF,FINE|FINE|FINE|FINE
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,415-424|8500-8509|9376-9385|9485-9494|9613-9622|9942-9951|13931-13940|19208-19217|19900-19909|19965-19974|21612-21621|24031-24040|24617-24626|25804-25813|34400-34409,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,436-443|13953-13960|18150-18157|18296-18303|19281-19288|19935-19942|23437-23444|23809-23816|23912-23919|24256-24263|37897-37904|42832-42839,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Previous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25627,446-453|1837-1844|28361-28368|38512-38519,PREF|PREF|PREF|PREF,PREVIOUS|PREVIOUS|PREVIOUS|PREVIOUS
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,463-466|1913-1916|8422-8425|22262-22265|22520-22523|42030-42033,PREF|PREF|PREF|PREF|PREF|PREF,HAVE|HAVE|HAVE|HAVE|HAVE|HAVE
Encode,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80216,497-502|9279-9284|22477-22483|26842-26849,PREF|PREF|SYN|SYN,ENCODE|ENCODE|ENCODED|ENCODING
Muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13056,608-613|3935-3940|9624-9629|9869-9874|13911-13918|14216-14223|14778-14783|14959-14964|15910-15915|17365-17370|17539-17544|17609-17614|19763-19768|21507-21512|21688-21693|21799-21804|21985-21990|22964-22969|26466-26471|26923-26928|40432-40437|40936-40941|41115-41120|41262-41267|41594-41599|41702-41707|41953-41958|41963-41968|42121-42126|42349-42354|42734-42739|42929-42934|43339-43344,PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCULAR|MUSCULAR|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE
Second,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42535,636-641|23357-23362|31606-31611|38234-38239,PREF|PREF|PREF|PREF,SECOND|SECOND|SECOND|SECOND
Second,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49463,636-641|23357-23362|31606-31611|38234-38239,PREF|PREF|PREF|PREF,SECOND|SECOND|SECOND|SECOND
Second,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25666,636-641|23357-23362|31606-31611|38234-38239,PREF|PREF|PREF|PREF,SECOND|SECOND|SECOND|SECOND
Broad,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61485,714-718|1928-1932,PREF|PREF,BROAD|BROAD
Observed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25599,807-814|1030-1037|10573-10580|14478-14485|18637-18644|23615-23622|24071-24078,PREF|PREF|PREF|PREF|PREF|PREF|PREF,OBSERVED|OBSERVED|OBSERVED|OBSERVED|OBSERVED|OBSERVED|OBSERVED
Functional Magnetic Resonance Imaging,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17958,819-822|1413-1416|3581-3617|3620-3623|16208-16211|23334-23337|40813-40816|41833-41836,SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN,FMRI|FMRI|FUNCTIONAL MAGNETIC RESONANCE IMAGING|FMRI|FMRI|FMRI|FMRI|FMRI
Single,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150721,828-833|3293-3298|3397-3402|7119-7124|8377-8382|8516-8521|14298-14303|16451-16456|18744-18749|21923-21928|29841-29846|30417-30422|31147-31152|33572-33577|34469-34474|38612-38617|39022-39027|40361-40366|42436-42441,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE
Single,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48440,828-833|3293-3298|3397-3402|7119-7124|8377-8382|8516-8521|14298-14303|16451-16456|18744-18749|21923-21928|29841-29846|30417-30422|31147-31152|33572-33577|34469-34474|38612-38617|39022-39027|40361-40366|42436-42441,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE|SINGLE
Stimulation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61406,898-908|22315-22325|27227-27237|27631-27641,PREF|PREF|PREF|SYN,STIMULATION|STIMULATION|STIMULATION|STIMULATING
Multiple,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17648,974-981|1008-1012|3371-3375|4005-4009|16025-16029|16107-16111|17468-17472|18670-18674|19377-19381|21451-21455|26410-26414|27358-27362|27448-27452|30357-30361|30591-30595|31175-31179|37961-37968|38819-38823|40020-40027|41359-41363,PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN,MULTIPLE|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTI|MULTIPLE|MULTI|MULTIPLE|MULTI
Joint,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13044,1014-1018|3377-3381|10332-10337|10433-10437|15196-15201|17001-17005|17907-17911|19275-19279|38175-38180|38587-38592|38697-38702,PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|SYN|SYN|SYN,JOINT|JOINT|JOINTS|JOINT|JOINTS|JOINT|JOINT|JOINT|JOINTS|JOINTS|JOINTS
Natural,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85060,1046-1052|1164-1170|1616-1622|8337-8343|13978-13984|15087-15093|16784-16790|18032-18038|18210-18216|18288-18294|21395-21401|24813-24819|38283-38289|42459-42465|42661-42667,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL|NATURAL
